profesor,url,komentar
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"moč komentarja:-5+9Neprimeren in povišan profesor, če bi ga lahko ocenil z 0 bi ga. Prehitra ""razlaga"", ter velik ego. Nato se šele zavedaš, da sploh ne uporablja svojega gradiva skozi katerega kar preleti.


Med uro se odloči, da je pametno govoriti v ženskah oblečenih v latex (haha)strinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,moč komentarja:-0+3Slabo crta 👎strinjam sene strinjam se
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"Napisal:diskretnesomiunicilezivljenjemoč komentarja:-0+1Profesorju se vidi, mu ni vseeno za študente, spusti kriterije pri ocenjevanju teorije, izpiti teorije niso preveč zahtevni, razlaga na dokaj razumljiv način, sam te res mora zanimat. Vendar je pa treba izpostaviti, da ima zelo visok ego; imam en primer, kjer je en sošolec asistentki imenoval profesorca, pa ga je ustavil, popravil in mu rekel da se naj to nauči pa drugič sprašuje.strinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"Napisal:Anej Cverlemoč komentarja:-2+3goat matematike, po temu ko dragana razloži ga je ful fajn poslušat pa še entertaining razlagastrinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"moč komentarja:-31+31Prejšnja leta je bil katastrofalen. Letos, ko je napredoval iz asistenta v profesorja, se je zelo poboljšal.strinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,moč komentarja:-10+2Lepo in nazorno razlagastrinjam sene strinjam se
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"moč komentarja:-48+40jackson! slabe ocene dajejo tisti, ki mislijo, da na izpitu padejo zaradi njega. če bi bil tako slab kot eni govorite, nebi nihče naredil izpita.

on je super!strinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"moč komentarja:-19+5zelo je vredu, mar ne?strinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,moč komentarja:-45+31on je čist ok!!!!!strinjam sene strinjam se
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,"moč komentarja:-58+40Legenda!Če bi vsi imeti tak način poučevanja,bi študenti vsaj nekaj odnesli od univerzitetnega študijastrinjam sene strinjam se"
Peterin Iztok,https://profesorji.net/profesor/feri/uni/peterin,Napisal:air-raidmoč komentarja:-65+30pederstrinjam sene strinjam se
Peterin Iztok,https://profesorji.net/profesor/feri/uni/iztok-peterin,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNIIztok Peterin1.0/5Število ocen:1Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Peterin Iztok,https://profesorji.net/profesor/feri/uni/iztok-peterin,Iztok Peterin1.0/5Število ocen:1Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,"Napisal:Špricermoč komentarja:-1+18Na njegove vaje se vedno splača pridit. Profesor pove bistvo razloži delovanje nalog in še kaj doda kar mogoče ni bilo jasno pri laboratoriskih vajah. Predmet EMP kot sam zna bit zlo zahteven, če ne delaš redno in opraviš s kokokviji GOODLUCK. Med reševanjem kolokvijev pa tud zašvicaš, če nebi bilo tega profesorja nevem kako bi opravil ta predmet. V primeru, da z motorji nimate predhodnega znanja se je treba zelo dobro pripraviti na kokokvije. S tem, ko opravite domačo nalogo pa se tudi naučite kakšen bo princip reševanja nalog na kolokvijih. Vidi se, da profesor pri ocenjevanju išče znanje in se ne vpikuje v vsako podrobnost odgovora na kolokviju v primeru, da je odgovor napisan na kratko.
Do študentov ima prijazen odnos, vendar je njemu kdaj kaj samoumevno,vendar pri vsaki uri vpraša, če je pri nalogah bilo kaj nejasnega in v primeru da mu povste kaj vas muči bo to dobro razložil, v primeru da vam ne ustreza termin pisanja kolokvija pa je vedno razumljiv in razume, da ta predmet ni edini na svetu.

fwi.
Profesor si bo nekak zapovno tvoje ime, kljub temu da ga nikol ni slišu in si med 50 študenti sam WTF, ko te kdaj izpostavi.
(g. prof, če to berete jst sm on ko neve ka se dogaja na lab. vajah in klikam gumbe 😉)strinjam sene strinjam se"
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,"Napisal:mehatronikmoč komentarja:-4+16Odličen profesor. Imel nas je vaje pri predmetu EEMS in predavanja MVEMS. Za svoje področje se res spozna in zna dobro in poenostavljeno razložiti vse. Na vsako uprašanje odgovori dobro. Zelo velik pomen daje aktvnemu sodelovanju na predavanjih in vajah, ne samo prisotnosti. Pri zagovoru išče temeljno znanje in razumevanje snovi. Kapo dol in čimveč takih mlajših profesorjev.strinjam sene strinjam se"
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,moč komentarja:-2+6Pr njem je potrebno ispostavit korekten odnos do studentov. Drzi se vsega kar rece nasplosno ima zelo zanimiva predavanja. Vec taksnihstrinjam sene strinjam se
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,moč komentarja:-1+4Legendastrinjam sene strinjam se
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,moč komentarja:-3+6Odlicen profesor! Vec taksnih!strinjam sene strinjam se
Petrun Martin,https://profesorji.net/profesor/feri/uni/martin-petrun,"moč komentarja:-2+3zanimivo predava, snov je kar težka!strinjam sene strinjam se"
Pevec Simon,https://profesorji.net/profesor/feri/uni/simon-pevec,moč komentarja:-3+8Ta res obvladastrinjam sene strinjam se
Pevec Simon,https://profesorji.net/profesor/feri/uni/simon-pevec,"Napisal:Špricermoč komentarja:-4+6Okej profesor imel me je predmet ""racunalnistvo podprto nacrtovanje in dokumentiranje"" na predavanja se splača hodit, če se ti gre za povprečje saj vedno, da nekaj malega na kolokvije kar ni v powerpointih. Snovi na prvi pogled zgleda veliko, vendar ni tako zahtevna. Upam, da profesor nebo dodajal snovi, saj v tem primeru študentje nič ne bodo odnesli od tega predmeta kot le piflanje(Senzorska tehnika uhm). Na lab.vajah pa boste snov predmeta izvedli pri Sarjašu(ful vredi asistent), kjer bo celoten postopek izveden še praktično in zarad tega še vse bolj logično. Priporočam da se začnete na kolokvij pripravljat ~5dni prej, saj zna biti predmet kar obsežen, če tega nisi navajen.strinjam sene strinjam se"
